"","Link","City"
"1","https://www.hostelworld.com/hostels/Tokyo","Tokyo"
"2","https://www.hostelworld.com/hostels/Tokyo?page=2","Tokyo"
"3","https://www.hostelworld.com/hostels/Tokyo?page=3","Tokyo"
"4","https://www.hostelworld.com/hostels/Tokyo?page=4","Tokyo"
"5","https://www.hostelworld.com/hostels/Tokyo?page=5","Tokyo"
"6","https://www.hostelworld.com/hostels/Kyoto/Japan","Kyoto"
"7","https://www.hostelworld.com/hostels/Kyoto/Japan?page=2","Kyoto"
"8","https://www.hostelworld.com/hostels/Kyoto/Japan?page=3","Kyoto"
"9","https://www.hostelworld.com/hostels/Kyoto/Japan?page=4","Kyoto"
"10","https://www.hostelworld.com/findabed.php/ChosenCity.Osaka/ChosenCountry.Japan","Osaka"
"11","https://www.hostelworld.com/findabed.php/ChosenCity.Osaka/ChosenCountry.Japan?page=2","Osaka"
"12","https://www.hostelworld.com/findabed.php/ChosenCity.Osaka/ChosenCountry.Japan?page=3","Osaka"
"13","https://www.hostelworld.com/findabed.php/ChosenCity.Osaka/ChosenCountry.Japan?page=4","Osaka"
"14","https://www.hostelworld.com/findabed.php/ChosenCity.Hiroshima/ChosenCountry.Japan","Hiroshima"
"15","https://www.hostelworld.com/findabed.php/ChosenCity.Fukuoka/ChosenCountry.Japan","Fukuoka"
