"","name","ratingOverall","ratingKeyword","totalReviews","atmosphere","cleanliness","facilities","location","security","staff","valueformoney","address"
"99","
                        Juyoh Hotel
                    ","
            9.2
        ","Superb","112 Total Reviews",8.5,9.5,9,8.5,10,9.5,9.5,"2-15-3 Kiyokawa Taito-ku"
"100","
                        Guesthouse Sensu
                    ","
            9.6
        ","Superb","23 Total Reviews",9.7,10,9.7,9,9.7,10,9.3,"2F 3-1-6 higashi-koujiya ota-ku,Tokyo"
"101","
                        Guest House Denchi
                    ","
            9.9
        ","Superb","5 Total Reviews",9,10,10,10,10,10,10,"2-8-5 Nishiasakusa Taito-ku Tokyo"
"102","
                        The Wardrobe Hostel Roppongi
                    ","
            7.6
        ","Very Good","10 Total Reviews",6.5,9,7,7.5,9.5,8,6,"4-1-26 Roppongi Minato-ku"
"103","
                        &And Hostel-Asakusa North-
                    ","
            6.9
        ","Good","42 Total Reviews",7.3,4.5,6.5,7,7.8,7.8,7.5,"2-4-7 Nihonzutsumi taito-ku Tokyo"
"104","
                        Family & bAKpAK Tokyo Hostel
                    ","
            8.3
        ","Fabulous","267 Total Reviews",8,8,8,8,8.8,7.6,9.6,"3-12-5 Ryusen, Taito-ku"
"105","
                        Koenji Junjo Hotel
                    ","
            8.4
        ","Fabulous","4 Total Reviews",NA,NA,NA,NA,NA,NA,NA,"4-40-20,Koenjiminami,Suginami-ku"
"106","
                        &And Hostel Ueno
                    ","
            9.7
        ","Superb","19 Total Reviews",9,10,10,10,10,9,10,"6-8-7 Higashi-ueno"
"107","
                        Asakusa Ryokan Toukaisou
                    ","
            8.0
        ","Fabulous","554 Total Reviews",6,7.4,7.1,8.9,8.3,9.1,9.1,"2-16-12 Nishi Asakusa, Taito-ku"
"108","
                        Lyuro Tokyo Kiyosumi -The Share Hotels-
                    ","
            8.8
        ","Fabulous","13 Total Reviews",7.5,9.5,8.5,8.5,9.5,9.5,8.5,"1-1-7 Kiyosumi, Koto-ku, Tokyo"
"109","
                        Capsule Value Kanda
                    ","
            7.1
        ","Very Good","62 Total Reviews",6,4,4,10,8,10,8,"1-4-5 Kajicho, Chiyoda-ku,"
"110","
                        Shimokita Hostel
                    ","
            8.1
        ","Fabulous","7 Total Reviews",7,10,7,8,9,9,7,"Setagaya-ku Kitazawa 2-17-11"
"111","
                        Senju Tamuraya
                    ","
            9.6
        ","Superb","2 Total Reviews",8,10,10,10,9,10,10,"7-19-10,Minami-senju,Arakawa-ku,Tokyo"
"112","
                        YADOYA Guesthouse Orange
                    ","
            4.9
        ","Rating","192 Total Reviews",3.5,3.5,3.5,8.5,4,5.5,5.5,"5-32-21 Nakano"
"113","
                        Hiromas Hostel in Akiba
                    ","
            8.5
        ","Fabulous","56 Total Reviews",8.7,8.7,8.3,8.3,9,8.7,8,"6-7-5, Soto-kanda, Chiyoda-ku, Tokyo"
"114","
                        Sukeroku-no-Yado Sadachiyo
                    ","
            10.0
        ","Superb","20 Total Reviews",10,10,10,10,10,10,10,"2-20-1 Asakusa Taito"
"115","
                        bnb+TripCommunityTokyo
                    ","
            7.1
        ","Very Good","2 Total Reviews",6,8,6,6,8,8,8,"5F Nanwa building 1-23-10 Nishishinbashi MInato-ku"
"116","
                        Capsule Hotel Anshin Oyado Ogikubo
                    ","
            10.0
        ","Superb","2 Total Reviews",10,10,10,10,10,10,10,"1-11-2 Kamiogi, Suginami-ku, Tokyo"
"117","
                        Asakusahotel Wasou
                    ","
            8.6
        ","Fabulous","28 Total Reviews",8.7,8.7,8,8.7,8,8,10,"3-7-2,Asakusa, Taito-ku, Asakusa"
"118","
                        J's Backpackers
                    ","
            7.4
        ","Very Good","66 Total Reviews",6.7,7.3,7.3,6,8.7,8.7,7.3,"1-23-7, Takasago, Katsushika-ku"
"119","
                        Edo Tokyo Hostel
                    ","
            4.9
        ","Rating","14 Total Reviews",4,6,2,6,6,4,6,"4-1-12 Chuo, OK Building 2F, Edogawa-ku, Tokyo"
"120","
                        With B
                    ","
            8.3
        ","Fabulous","11 Total Reviews",7.5,8.7,8,7.5,8.5,8.9,8.7,"2 Chome 11-3 Nihonbashi-kakigaracho, Chuo"
"121","
                        Guesthouse Kagaribi
                    ","
            9.1
        ","Superb","10 Total Reviews",10,10,8,8,8,10,10,"Adachi-ku Senjyu Yanagicho 19-1"
"122","
                        Capsule Hotel Anshin Oyado Akihabara
                    ","
            8.3
        ","Fabulous","3 Total Reviews",NA,NA,NA,NA,NA,NA,NA,"1-2-12 Sotokanda, Chiyoda-ku, Tokyo"
"123","
                        Hiromas Hostel in Ueno
                    ","
            9.3
        ","Superb","4 Total Reviews",8,9,9,9,10,10,10,"Kitaueno, 1-3-5, Taitoku,"
"124","
                        Capsule Hotel Anshin Oyado Shinbashi Shiodome
                    ","
            9.1
        ","Superb","1 Total Review",NA,NA,NA,NA,NA,NA,NA,"2-7-8 Higashi Shimbashi, Minato-ku, Tokyo"
"125","
                        Hisayo's Inn
                    ","
            9.7
        ","Superb","4 Total Reviews",10,10,10,9,10,10,9,"3-30-13 Nishi Kojiya Ota-ku, Tokyo"
"126","
                        Shibamata FU-TEN Bed and Local
                    ","
            4.9
        ","Rating","1 Total Review",2,4,2,2,10,10,4,"Shibamata7-12-19,Katsushika-ku,Tokyo"
"127","
                        Tokyo House Inn
                    ","
            8.0
        ","Fabulous","60 Total Reviews",8,8,8,8,8,8,8,"1 Chome-12-27 okubo, Shinjuku-ku,Tokyo"
"128","
                        Oak Hotel Edo
                    ","
            7.1
        ","Very Good","8 Total Reviews",4,10,6,8,6,8,8,"2-17-7 Morisita,Koto Ku ,Tokyo"
"129","
                        Japanize Guest House
                    ","
            8.1
        ","Fabulous","101 Total Reviews",7,7,8,9,8,9,9,"1 Chome-5-6 Nihonbashibakurocho, Chuo-ku Tokyo"
"130","
                        bnb+ Ninja Dojo Ueno
                    ","
            5.0
        ","Rating","3 Total Reviews",4,2,4,8,5,5,7,"2-18-1 Higashiueno Taito-ku Tokyo"
"131","
                        Grids Kyoto Shijo Kawaramachi Hotel & Hostel
                    ","
            9.2
        ","Superb","179 Total Reviews",8.1,9.4,9.3,9.7,9.6,9.2,9.1,"599 Nishidaimonjicho, Nishikikoji kudaru, Tomikoji"
"132","
                        Kyoto Morris Hostel
                    ","
            9.7
        ","Superb","675 Total Reviews",9.2,9.9,9.8,9.4,9.9,9.8,9.7,"133-1 Umenoki-cho, Nakagyo-ku, Kyoto-shi"
"133","
                        Friends Kyo
                    ","
            9.8
        ","Superb","187 Total Reviews",9.6,9.9,9.7,9.9,9.8,9.9,9.8,"193 Kamiyanagi-cho, Higashiyama ku"
"134","
                        Len Kyoto
                    ","
            9.5
        ","Superb","969 Total Reviews",9.4,9.6,9.4,9.3,9.5,9.7,9.4,"709 Uematsucho, Shimogyo-ku"
"135","
                        Backpackers Hostel K's House Kyoto
                    ","
            9.2
        ","Superb","10215 Total Reviews",8.8,9.3,9.2,9,9.5,9.4,9.1,"418 Nayachou, Shichijo-agaru, Dotemachi-dori, Shimogyo-ku"
"136","
                        The Millennials Kyoto
                    ","
            9.5
        ","Superb","272 Total Reviews",9.1,9.9,9.6,9.8,9.6,9.4,9.2,"235, Yamazaki-cho, Nakagyo-ku, Kyoto-shi, Kyoto"
"137","
                        Mosaic Hostel Kyoto
                    ","
            9.7
        ","Superb","588 Total Reviews",9.6,10,9.8,9.2,9.8,9.8,9.8,"Minami-ku Nishikujo Kasugacho 4-1, Minami-ku, Kyoto city"
"138","
                        Ryokan Hostel Gion
                    ","
            9.7
        ","Superb","26 Total Reviews",9.5,9.9,9.5,9.6,9.8,9.8,9.7,"391-2, Motomachi, Higashiyama-ku, Kyoto City"
"139","
                        Bird Hostel
                    ","
            9.4
        ","Superb","396 Total Reviews",8.9,9.7,9.4,9.4,9.5,9.2,9.4,"Marutamachi-douri karasuma-nishiiru, Nakagyo-ku"
"140","
                        Piece Hostel Sanjo
                    ","
            9.6
        ","Superb","573 Total Reviews",9.1,9.9,9.6,9.6,9.8,9.8,9.7,"531, Asakura-cho,Nakagyo-ku, Kyoto City"
"141","
                        Hostel Ebi
                    ","
            9.9
        ","Superb","206 Total Reviews",9.7,10,9.8,9.8,9.9,10,9.8,"Karasumanishiki Bld 4F, 683 Motohonenjicho, Nakagyo-ku, Kyoto, Japan"
"142","
                        Downtown Inn Kyoto
                    ","
            8.4
        ","Fabulous","127 Total Reviews",7.6,8.9,8.6,8.9,7.9,8.4,8.7,"HIRANO Bld. 6F, 448 Furunishi-cho, Nakagyo-ku, Kyoto-shi"
"143","
                        Centurion Cabin & Spa Kyoto
                    ","
            8.9
        ","Fabulous","544 Total Reviews",7.3,9.4,9.1,9.7,9.4,8.8,8.2,"68-2 Tachiuri Nishi-machi, Shimogyo-ku, Kyoto-shi"
"144","
                        Comics & CapsuleHotel COMICAP kyotoshinkyogoku
                    ","
            9.2
        ","Superb","324 Total Reviews",8.4,10,9.8,9.8,8.6,8.5,9.2,"525-1 Higashigawa-machi, Nakagyo-ku, Kyoto-shi"
"145","
                        Khaosan Kyoto Guest House
                    ","
            8.5
        ","Fabulous","3918 Total Reviews",7.3,8.1,8.1,9.4,9,9.1,8.5,"568 Nakanocho, Bukkoji-agaru, Teramachi-dori, Shimogyo Ward"
"146","
                        R.Star Hostel Kyoto
                    ","
            9.3
        ","Superb","79 Total Reviews",8.8,9.7,9.6,9,9.6,9.1,9.3,"256-2 MOTORYOUGAE-CHO SIMOGYOOUKU KYOTO"
"147","
                        Imano Kyoto Kiyomizu Hostel
                    ","
            8.8
        ","Fabulous","75 Total Reviews",8.1,9.5,8.4,9.2,8.7,9.1,8.3,"563-11 bairincho 5 Higashiiru Yamatooji Gojodori H"
"148","
                        J-Hoppers Kyoto Guest House
                    ","
            8.7
        ","Fabulous","1538 Total Reviews",8,8.9,8.1,8.7,9.2,9.3,8.7,"51-2, Nakagoryo-cho, Higashikujo, Minami-ku"
"149","
                        Capsule Resort Kyoto Square
                    ","
            9.2
        ","Superb","34 Total Reviews",8.3,10,10,9.2,9.5,9.3,8.2,"233,Oshiaburanokoujicho,Nakagyouku,Kyoto"
"150","
                        Santiago Guesthouse Kyoto
                    ","
            8.9
        ","Fabulous","1202 Total Reviews",8.1,9,8.7,9.3,8.5,9.5,9,"6-503 Gojohashi Higashi, Higashiyama-ku"
"151","
                        Gion Ryokan Q-beh
                    ","
            9.4
        ","Superb","976 Total Reviews",8.8,9.8,9,9.9,9.3,9.5,9.6,"505-3, Washio-cho, Higashiyama-ku,"
"152","
                        Piece Hostel Kyoto
                    ","
            9.5
        ","Superb","746 Total Reviews",8.8,9.9,9.5,9.5,9.7,9.8,9.3,"21-1 Higashikujyo Higashisanno-cho, Minami-ku"
"153","
                        Jiyujin
                    ","
            9.8
        ","Superb","745 Total Reviews",9.3,9.9,9.9,9.7,10,10,10,"524,Izumi-cho, gojo-sagaru,, higashidouindori, shimogyo-ku"
"154","
                        Guest House Renjishi Kabuki
                    ","
            9.1
        ","Superb","557 Total Reviews",8.9,8.8,8.6,8.5,9.5,9.8,9.2,"670-5.Kakimoto-cho,Inokumadori Gojyo Kudaru, Shimogyo-ku"
"155","
                        WeBase Kyoto
                    ","
            9.2
        ","Superb","3 Total Reviews",8.7,10,9.3,8.7,10,10,8,"436-1 Iwatoyama-cho Shimogyo-ku Kyoto"
"156","
                        Guest House Bola-Bola
                    ","
            9.3
        ","Superb","522 Total Reviews",9.5,9.4,8.9,8.7,9.6,9.8,9.4,"25-17 Horigauchi-cho Uzumasa Ukyoku Kyoto city"
"157","
                        Gojo Guest House
                    ","
            9.3
        ","Superb","977 Total Reviews",9,9.4,8.8,9.2,9.5,9.9,9.6,"3-396-2 Gojobashihigashi, Higashiyama-Ku"
"158","
                        Kyoto Hostel ZEN
                    ","
            9.6
        ","Superb","26 Total Reviews",8.9,9.3,9.7,9.9,9.9,9.9,9.4,"423 idutsuya-cho, Nakagyo-ku, Kyoto city"
"159","
                        The Lower East Nine Hostel
                    ","
            9.2
        ","Superb","308 Total Reviews",8.9,9.5,9.3,9.1,8.9,9.6,9.1,"Higashikujo Minamikarasuma-cho 32, Minami-ku"
"160","
                        Guest House Kyoto Inn
                    ","
            9.2
        ","Superb","168 Total Reviews",8.9,9.4,8.9,8.9,8.9,9.7,9.4,"15 Sujaku shokaicho shimogyo-ku"
"161","
                        Guest House Shiori Ann
                    ","
            9.0
        ","Superb","73 Total Reviews",8.4,9.2,9.1,9.3,9.2,9.2,9,"339 Kagiya-cho, Kagiyamachi  Karasuma – nishiiru, Shimogyo-ku"
"162","
                        Hostel Niniroom
                    ","
            9.4
        ","Superb","13 Total Reviews",9.4,9.7,9.4,8.9,9.4,9.7,9.1,"30-3 Higashi-Maruchicho, Sakyo-ku, Kyoto-shi"
"163","
                        Hostel Kyoto Kizuna
                    ","
            9.3
        ","Superb","115 Total Reviews",9.4,9.7,9.2,8.8,9.8,9.8,8.6,"65-2 Masuya-cho, Shimogyo-ku, Kyoto-shi"
"164","
                        Grand-Rem Kyoto
                    ","
            9.0
        ","Superb","11 Total Reviews",8.2,9.1,8.5,9.5,9.3,9.1,9.1,"346 Iseya-cho, Nakagyo-ku, Kyot"
"165","
                        Guest House Ga-Jyun
                    ","
            9.5
        ","Superb","169 Total Reviews",9.5,9.7,8.9,9.6,9.6,9.6,9.9,"165 Ebisu-cho Higashiyama-ku"
"166","
                        Calendar Hotel
                    ","
            8.8
        ","Fabulous","11 Total Reviews",8,9.8,9.2,8.4,9.2,8.4,8.8,"Vierra Otsu 1 ,Kasuga-town ,Otsu-city ,Shiga"
"167","
                        Tanaka Gokurakudo Guest House
                    ","
            9.3
        ","Superb","32 Total Reviews",9.2,9.6,8.8,9.6,9.2,9.6,9.2,"Shimogyo-ku Nishisakaicho 167"
"168","
                        GATE80 Kyoto Nijo
                    ","
            8.4
        ","Fabulous","6 Total Reviews",8,8.3,8.7,8.7,9,8.3,8,"Nakagyo-ku Jurakumawari Higashimachi 10-15 1F"
"169","
                        Kyoto Hana Hostel
                    ","
            8.7
        ","Fabulous","2326 Total Reviews",8.3,8.7,7.9,9.4,8.9,9,8.7,"229 Akezu-dori Street, Kogawa-cho, Shimogyo-ku"
"170","
                        Fairfield House
                    ","
            9.0
        ","Superb","66 Total Reviews",8.9,9.7,9.1,8.3,9.7,8.9,8.6,"401 Karigane-cho, Shimogyo-ku"
"171","
                        Tabetoma Nijo Castle
                    ","
            8.9
        ","Fabulous","147 Total Reviews",9,9.7,9,8.7,7.7,9,9.3,"270-1, Nijo,Aburanokoji-cho, Nakagyo-ku"
"172","
                        Nagomi-Ryokan Yuu
                    ","
            8.6
        ","Fabulous","280 Total Reviews",6,10,10,8,10,8,8,"94 Kamiwakamiya-cho, Wakamiya-dori Rokujo Nishi-ir, Shimogyo-ku"
"173","
                        Guest House Hachi
                    ","
            8.7
        ","Fabulous","19 Total Reviews",8.8,8.8,8.3,8.8,9,8.8,8.8,"46-3, Ageya-cho, Nishishinyashiki, Shimogyo-ku"
"174","
                        RokuRoku
                    ","
            9.3
        ","Superb","59 Total Reviews",9.3,9.5,9.1,8.5,9.8,9.5,9.5,"28-1 Nishiteranomae-cho Shishigatani Saky"
"175","
                        Hostel Mundo Chiquito
                    ","
            8.7
        ","Fabulous","246 Total Reviews",8.7,9.1,7.6,9.3,8.2,9.3,8.9,"485 Aburanokoji Takeyachosagaru Hashimotocho, Nakagyo-ku"
"176","
                        Stay Inn KOTO
                    ","
            9.1
        ","Superb","10 Total Reviews",8.3,9,8.8,9.5,9.3,9.3,9.8,"6-1 Fukakusa Suzutsukacho, Fushimi-ku, Kyoto-shi"
"177","
                        Peace House Sakura
                    ","
            7.5
        ","Very Good","65 Total Reviews",6.8,7,7,8.5,8,8,7.5,"188-1 Kadowaki-cho, Higashiiru, Gojo-agaru, Ymatoo, Higashiyama-ku"
"178","
                        The Limelight Kyoto
                    ","
            10.0
        ","Superb","2 Total Reviews",NA,NA,NA,NA,NA,NA,NA,"2F, Plaza Bldg. 37 Imachi Hanazono, Ukyou-ku, Kyoto-shi"
"179","
                        Hostel Mundo
                    ","
            8.3
        ","Fabulous","277 Total Reviews",8.6,8,7.7,8.3,7.4,9.4,8.9,"596 Tenbin-Tyo Kamigyo-ku"
"180","
                        Kyoto Guesthouse Roujiya
                    ","
            8.7
        ","Fabulous","176 Total Reviews",8,9.3,8.3,9.3,8.3,9,8.7,"22-58, Ikenouchi-cho, Nishinokyo, Nakagyo-ku"
"181","
                        Jam Hostel Kyoto Gion
                    ","
            7.8
        ","Very Good","554 Total Reviews",6,8,6.6,9.1,8.9,8,8,"Tokiwacho170 Higashiyama Kyoto"
"182","
                        Hostel HARUYA Kyoto
                    ","
            8.9
        ","Fabulous","122 Total Reviews",8.7,9.3,7.3,8.7,9.3,10,8.7,"542-4 Furukawa-cho,, Sanjo-dori, Shirakawabashi-nis"
"183","
                        Guesthouse Soi
                    ","
            9.4
        ","Superb","166 Total Reviews",8,10,10,9.3,9.3,9.7,9.3,"509-2 Shimouma-machi, Higashiyama-ku, Kyoto-shi, Kyoto"
"184","
                        Kyo To
                    ","
            8.9
        ","Fabulous","11 Total Reviews",8.7,9.3,8.3,9,9.3,9,8.3,"178-3, Shibouomiya-cho, Nakagyo-ku, Kyoto"
"185","
                        OKI's Inn
                    ","
            9.8
        ","Superb","380 Total Reviews",9.3,10,10,10,10,10,9.3,"542-2 Furukawa-cho Higashiyama-ku Kyoto-shi"
"186","
                        Guest House YULULU
                    ","
            9.4
        ","Superb","64 Total Reviews",10,9.6,9.6,8.8,9.2,9.2,9.6,"Kinosita Cho 288, Nakagyou ku"
"187","
                        Book and Bed Tokyo - Kyoto
                    ","
            8.9
        ","Fabulous","18 Total Reviews",9.1,8.9,8.3,9.4,9.4,8.9,8,"Higashiyama-ku, Nakanocho 200"
"188","
                        Tomato Kyoto Station
                    ","
            7.3
        ","Very Good","289 Total Reviews",6.3,6.3,7.3,9,7,7.3,7.7,"135, Shimizu, Siokoji-Horikawa-Nishi, Shimogyo"
"189","
                        Matcha Backpackers
                    ","
            8.3
        ","Fabulous","4 Total Reviews",7,8.5,8.5,9,8.5,8,8.5,"469 omiyacho Shimogyo ku Kyoto city"
"190","
                        Kyoto Suiden Ann Annex Dormitory-Sui
                    ","
            9.5
        ","Superb","6 Total Reviews",9.5,10,9.5,8,9.5,10,10,"732 Makura-cho, Kamigyo-ku, Kyoto-shi"
"191","
                        Kyoto Hostel Ryokan
                    ","
            8.7
        ","Fabulous","12 Total Reviews",8.5,8.5,8.5,8,8.5,10,9,"23-10. Kawabemachi Higashi Kujyo, Minami Ku"
"192","
                        THE NEXT DOOR lower east nine hostel
                    ","
            8.2
        ","Fabulous","58 Total Reviews",7.6,9.6,7.2,7.2,8.8,9.2,7.6,"65 Nishikujo Higashihieijyo cho, Minami-ku, Kyoto-shi"
"193","
                        Okara Guesthouse
                    ","
            9.5
        ","Superb","30 Total Reviews",8.7,10,10,9.3,10,9.3,9.3,"Nishinotoin-cho477 Shimogyo-ward,Kyoto city,kyoto"
"194","
                        Small World Guesthouse in Kyoto
                    ","
            8.0
        ","Fabulous","369 Total Reviews",8.3,8.7,7.7,7.3,8.3,8.7,7.3,"25-10 Shimotorida-Tyou Murasakino, Kita-ku"
"195","
                        Hostel Ginkakuji
                    ","
            7.9
        ","Very Good","5 Total Reviews",8,7,7,8,8,8,9,"Jyoudoji Nishidacho 58-2, Sakyo-ku"
"196","
                        O-yado Sato
                    ","
            6.3
        ","Good","114 Total Reviews",6,8,4,6,8,8,4,"93 Kamiwakamiya-cho, Shimogyo-ku"
"197","
                        Ikoi-no-Ie Kyoto
                    ","
            6.7
        ","Good","697 Total Reviews",6,6,5,8,8,8,6,"885 Ushitora-cho, Shimogyo-ku, Kyoto city"
"198","
                        Grateful
                    ","
            8.9
        ","Fabulous","1 Total Review",10,8,8,8,8,10,10,"340-5 Kamikaji-cho, Kamigyo-ku, Kyoto City"
"199","
                        Gojo Guesthouse - Annex
                    ","
            9.9
        ","Superb","354 Total Reviews",10,10,10,9,10,10,10,"11-26 Komatsu-cho 4, Higashiyama-ku"
"200","
                        Kyoto UTANO Youth Hostel
                    ","
            8.3
        ","Fabulous","152 Total Reviews",6,10,10,6,10,8,8,"29 Nakayamacho Uzumasa Ukyo-ku"
"201","
                        Guest House Yahata
                    ","
            8.6
        ","Fabulous","359 Total Reviews",8.8,9.6,6.8,8.8,10,8.8,7.6,"544 Yahata-cho, Gojo-agaru, Nishinotoin, Shimogyo-ku, Kyoto-shi"
"202","
                        Talbot
                    ","
            5.7
        ","Rating","6 Total Reviews",4,6,6,6,8,4,6,"1-2, Nishinokyo Ikenouchicho, Nakagyo-ku"
"203","
                        FUJITAYA Kyoto
                    ","
            7.1
        ","Very Good","2 Total Reviews",NA,NA,NA,NA,NA,NA,NA,"Chudouji Yabunouchicho 22-5, Shimogyo-ku, Kyoto-shi"
"204","
                        Kyoto Tsukiusagi
                    ","
            7.7
        ","Very Good","4 Total Reviews",6.7,9.3,7.3,7.3,8.7,7.3,7.3,"4 Ishidamorihigashicho Fushimi-ku Kyoto"
